Item Product Group Code,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,999.0,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total,total_quantity,total_value,days_of_inventory,tier,reorder_threshold
20-30-10,ATTICUS TOTE,102758,SP25,ATTICUS - TOTE W/ STUDS DETAIL,BLACK,990.NS.,0135729110925,349.0,4.0,10.0,3.0,4.0,6.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,1,72,67.0,23383.0,30,best_sellers,500
20-30-10,ATTICUS LAPTOP BAG,102759,SP25,ATTICUS - LAPTOP BAG W/ STUDS DETAIL,BLACK,990.NS.,0135729110928,349.0,53.0,10.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,0,119,66.0,23034.0,30,best_sellers,500
20-30-10,ATTICUS LAPTOP BAG,102759,SP25,ATTICUS - LAPTOP BAG W/ STUDS DETAIL,DARK BROWN,890.NS.,0135729110927,349.0,23.0,10.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,2,88,63.0,21987.0,30,best_sellers,500
20-30-10,ATTICUS BACKPACK,102760,SP25,ATTICUS - BACKPACK W/ STUDS DETAIL,BLACK,990.NS.,0135729110931,349.0,6.0,10.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,0,68,62.0,21638.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,BLACK,990.L,0135729100746,537.0,16.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2,53,35.0,18795.0,30,best_sellers,500
20-30-10,STETSON CROSSBODY,102762,SP25,STETSON - CROSSBODY W/DOUBLE ZIP COMPARTMENTS,BLACK,990.NS.,0135729110935,249.0,25.0,15.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,0,94,69.0,17181.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,BLACK,990.XL,0135729100743,537.0,11.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0,42,31.0,16647.0,30,best_sellers,500
20-30-10,STETSON CROSSBODY,102762,SP25,STETSON - CROSSBODY W/DOUBLE ZIP COMPARTMENTS,DARK BROWN,890.NS.,0135729110934,249.0,2.0,15.0,3.0,5.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,0,68,66.0,16434.0,30,best_sellers,500
20-30-10,ATTICUS TOTE,102758,SP25,ATTICUS - TOTE W/ STUDS DETAIL,DARK BROWN,890.NS.,0135729110924,349.0,1.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,0,48,47.0,16403.0,30,best_sellers,500
20-30-10,ATTICUS CROSSBODY,102756,SP25,ATTICUS - CROSSBODY BAG WITH STUDS DETAIL,BLACK,990.NS.,0135729110919,259.0,23.0,10.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,5.0,3.0,3.0,1,87,63.0,16317.0,30,best_sellers,500
