Item Product Group Code,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,Location Code,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total,total_quantity,total_value,tier,reorder_quantity,tier_description
56-73-15,MONACO,485006,SP25,MONACO - WOMEN'S LEATHER JACKETS IN DARK TAUPE,DARK TAUPE,549.L,5211734292238,768.25,55,55.0,88.0,39.0,50.0,31.0,22.0,21.0,20.0,2.0,10.0,17.0,6.0,12.0,21.0,21.0,2.0,24.0,3,441,441,338798.25,best_sellers,660,Top 10% performers - High demand items
68-41-99,AERYN,868846,FA24,AERYN - WOMEN'S LEATHER JACKETS IN EGGPLANT,EGGPLANT,730.S,3558787196249,792.91,61,61.0,46.0,42.0,40.0,8.0,39.0,8.0,12.0,21.0,7.0,22.0,21.0,6.0,5.0,10.0,25.0,24.0,5,397,397,314785.26999999996,best_sellers,660,Top 10% performers - High demand items
74-10-47,ALYSON,604030,SP25,ALYSON - WOMEN'S LEATHER JACKETS IN MINK,MINK,990.S,8585431848925,753.43,62,62.0,72.0,34.0,10.0,31.0,47.0,21.0,18.0,22.0,2.0,2.0,5.0,19.0,25.0,6.0,25.0,13.0,5,414,414,311920.01999999996,best_sellers,660,Top 10% performers - High demand items
55-90-74,ALEKSIA,937821,FA25,ALEKSIA - WOMEN'S LEATHER JACKETS IN TAUPE,TAUPE,990.S,8138184426978,757.22,58,58.0,97.0,29.0,34.0,39.0,6.0,10.0,1.0,23.0,11.0,25.0,8.0,7.0,20.0,25.0,18.0,0.0,5,411,411,311217.42,best_sellers,660,Top 10% performers - High demand items
58-60-92,ALEKSIA,443762,FA24,ALEKSIA - WOMEN'S LEATHER JACKETS IN RADIANT RED,RADIANT RED,549.S,3757264468345,766.21,97,97.0,71.0,42.0,15.0,10.0,12.0,2.0,7.0,24.0,2.0,20.0,21.0,20.0,14.0,22.0,6.0,19.0,0,404,404,309548.84,best_sellers,660,Top 10% performers - High demand items
12-89-90,MONACO,234847,FA26,MONACO - WOMEN'S LEATHER JACKETS IN DARK NAVY,DARK NAVY,549.XL,1108304899355,799.17,98,98.0,96.0,47.0,25.0,4.0,2.0,12.0,14.0,5.0,21.0,1.0,2.0,1.0,24.0,5.0,22.0,2.0,2,381,381,304483.76999999996,best_sellers,660,Top 10% performers - High demand items
16-72-58,ALYSON,623472,FA24,ALYSON - WOMEN'S LEATHER JACKETS IN SAGE,SAGE,660.NS,5428271288316,776.23,91,91.0,49.0,36.0,16.0,34.0,27.0,17.0,0.0,15.0,23.0,3.0,6.0,21.0,17.0,12.0,9.0,14.0,5,390,390,302729.7,best_sellers,660,Top 10% performers - High demand items
74-11-42,MONACO,758324,FA26,MONACO - WOMEN'S LEATHER JACKETS IN SAGE,SAGE,549.M,9558497424970,693.36,85,85.0,47.0,49.0,48.0,22.0,45.0,21.0,3.0,21.0,12.0,0.0,13.0,10.0,17.0,6.0,12.0,25.0,4,436,436,302304.96,best_sellers,660,Top 10% performers - High demand items
91-54-41,MONACO,837140,SP25,MONACO - WOMEN'S LEATHER JACKETS IN SKY BLUE,SKY BLUE,990.2XL,5052678235828,791.24,51,51.0,82.0,41.0,40.0,41.0,2.0,19.0,10.0,11.0,1.0,25.0,14.0,4.0,10.0,10.0,6.0,13.0,5,380,380,300671.2,best_sellers,660,Top 10% performers - High demand items
67-17-31,MONACO,970517,SP25,MONACO - WOMEN'S LEATHER JACKETS IN LIGHT GREY,LIGHT GREY,549.2XS,1737131726838,693.76,65,65.0,94.0,46.0,50.0,19.0,21.0,3.0,2.0,6.0,15.0,18.0,5.0,20.0,17.0,22.0,18.0,10.0,1,431,431,299010.56,best_sellers,660,Top 10% performers - High demand items
