Style,Variant Code,total_quantity,stock_level,tier,Selling Price
HARPER MEDIUM TOTE,990.NS.,-2.0,Critical,okay,129.0
KEYSI MEDIUM BI-FOLD WALLET,918.NS,-2.0,Critical,okay,59.0
ADVENTURE SEEKER 25,660.NS,-2.0,Critical,okay,109.99
ABERDEEN CARDHOLDER,440NS,-2.0,Critical,okay,29.0
HADY CURVED SHOULDER BAG,620.NS.,-2.0,Critical,okay,79.99
ABERDEEN CARDHOLDER,847.NS,-2.0,Critical,okay,29.0
SOMMER SHOULDER BAG,975.NS,-1.0,Critical,okay,59.99
CHENAH SATCHEL,120.NS,-1.0,Critical,okay,59.99
CHENAH SATCHEL,849.NS,-1.0,Critical,okay,59.99
MARTINA CLUTCH,919.NS.,-1.0,Critical,okay,59.99
CIANA LARGE WALLET / CROSSBODY,113NS,-1.0,Critical,okay,68.88
DERICA,853.NS,-1.0,Critical,okay,149.99
PHILIPA MINI BACKPACK,736.NS,-1.0,Critical,okay,69.99
UPTOWN LUGGAGE CASE,620.NS,-1.0,Critical,okay,79.99
AREANNA SMALL SHOULDER BAG,720.NS,-1.0,Critical,okay,49.99
UPTOWN LUGGAGE CASE,460.NS,-1.0,Critical,okay,79.99
SOHO 20,110.20,-1.0,Critical,okay,79.99
SHELLY,940.S.,-1.0,Critical,okay,99.99
KAEDE CROSSBODY,990.NS,-1.0,Critical,okay,109.99
KATHANI,870.L.,-1.0,Critical,okay,499.0
HAYDEN,895M,-1.0,Critical,okay,547.0
MATTHEW,990.34,-1.0,Critical,okay,67.0
JACKY,990.S.,-1.0,Critical,okay,199.0
VICTOR,990.M,-1.0,Critical,okay,189.99
BOWEN,350XS,-1.0,Critical,okay,449.0
TILLY,990.S,-1.0,Critical,okay,447.0
JULIETTE,102.3XS,-1.0,Critical,okay,397.0
DALYLA,670.XS,-1.0,Critical,okay,349.99
ELSA,6202XS,-1.0,Critical,okay,299.99
AIDEN,990.XL,-1.0,Critical,okay,299.0
NIKO,931.L,-1.0,Critical,okay,299.0
AVERY,990.S,-1.0,Critical,okay,379.0
QUENTYN,990.L,-1.0,Critical,okay,279.99
EVELYN,160.XS.,-1.0,Critical,okay,229.99
HELENA,870.S.,-1.0,Critical,okay,219.99
ZIARA,990.M,-1.0,Critical,okay,199.99
RALPH,990.M.,-1.0,Critical,okay,199.99
HUNTLEY,870.M,-1.0,Critical,okay,199.99
TESSA,553.06,-1.0,Critical,okay,199.0
CHARLIZE,870.S.,0.0,Critical,okay,447.0
EVELYN,735.S,0.0,Critical,okay,77.0
RYSA,340.3XS,0.0,Critical,okay,179.99
AUBRIEL,990.04,0.0,Critical,okay,349.99
AUBREE LARGE TOTE,990.NS.,0.0,Critical,okay,327.0
VAL CLUTCH,990.NS,0.0,Critical,okay,68.88
VAL CLUTCH,620.NS,0.0,Critical,okay,68.88
ANYA,710.2XL.,0.0,Critical,okay,577.0
AUBREE LARGE TOTE,116.NS.,0.0,Critical,okay,327.0
AVERY,633.L,0.0,Critical,okay,379.0
CHARLIZE,870.L.,0.0,Critical,okay,447.0
AVITA,870.3XS,0.0,Critical,okay,299.99
BERTA,990.XL.,0.0,Critical,okay,199.0
CHARLIZE,870.2XS.,0.0,Critical,okay,447.0
CHARLIZE,870.XS.,0.0,Critical,okay,447.0
CHARLIZE,870.M.,0.0,Critical,okay,447.0
ANYA,710.L.,0.0,Critical,okay,577.0
PORTIA,990.L,0.0,Critical,okay,369.99
PORTIA,990.S,0.0,Critical,okay,369.99
HINISHA,116.2XS,0.0,Critical,okay,1499.99
AVITA,990.XL,0.0,Critical,okay,299.99
STACEY CROSSBODY,920.NS,0.0,Critical,okay,129.0
AVELINE,910.L,0.0,Critical,okay,117.0
HINISHA,116.M,0.0,Critical,okay,1499.99
AVELINE,919.S,0.0,Critical,okay,117.0
AVELINE,915.M,0.0,Critical,okay,117.0
AVELINE,910.S,0.0,Critical,okay,117.0
PORTIA,990.2XS,0.0,Critical,okay,369.99
EMMA,990.M,0.0,Critical,okay,77.0
EVELYN,990.XS,0.0,Critical,okay,77.0
AUBREE SMALL TOTE,710.NS.,0.0,Critical,okay,267.0
AUBREE SMALL TOTE,990.NS.,0.0,Critical,okay,267.0
KATRIANE,990.L,0.0,Critical,okay,379.0
ROSA SHOULDER BAG,990.NS.,0.0,Critical,okay,179.0
