Style,Variant Code,total_quantity,reorder_threshold,reorder_quantity,reorder_value,tier
DONNA,990.XS,4.0,500,496.0,991504.0,best_sellers
DONNA,990.S,5.0,500,495.0,989505.0,best_sellers
HINISHA,730.XS,5.0,500,495.0,742495.05,best_sellers
HINISHA,730.S,5.0,500,495.0,742495.05,best_sellers
HINISHA,730.2XS,5.0,500,495.0,742495.05,best_sellers
DENZELL,730.L,8.0,500,492.0,639595.08,best_sellers
GLORYA,990.2XS,2.0,300,298.0,595702.0,doing_good
GLORYA,990.3XS,3.0,300,297.0,593703.0,doing_good
HINISHA,730.M,3.0,300,297.0,445497.03,doing_good
HINISHA,116.S,3.0,300,297.0,445497.03,doing_good
HINISHA,730.3XS,3.0,300,297.0,445497.03,doing_good
HINISHA,730.XL,3.0,300,297.0,445497.03,doing_good
DONNA,990.2XS,1.0,200,199.0,397801.0,making_progress
GLORYA,990.L,1.0,200,199.0,397801.0,making_progress
DONNA,990.M,1.0,200,199.0,397801.0,making_progress
BORYS,730.2XL,2.0,300,298.0,387397.02,doing_good
DENZELL,730.XL,2.0,300,298.0,387397.02,doing_good
GEDDY,990.S,3.0,300,297.0,386097.03,doing_good
DENZELL,730.2XL,3.0,300,297.0,386097.03,doing_good
GEDDY,990.L,3.0,300,297.0,386097.03,doing_good
GEDDY,990.2XL,4.0,300,296.0,384797.04,doing_good
BORYS,730.M,4.0,300,296.0,384797.04,doing_good
BORYS,730.XL,4.0,300,296.0,384797.04,doing_good
DENZELL,730.S,4.0,300,296.0,384797.04,doing_good
DENZELL,730.M,5.0,300,295.0,383497.05,doing_good
MURPHY,990.2XS,2.0,300,298.0,357597.02,doing_good
BOSTON REVERSIBLE,919.2XL.,12.0,500,488.0,340136.0,best_sellers
BOSTON REVERSIBLE,919.XL.,15.0,500,485.0,338045.0,best_sellers
BOSTON REVERSIBLE,919.S.,15.0,500,485.0,338045.0,best_sellers
BOSTON REVERSIBLE,919.L.,21.0,500,479.0,333863.0,best_sellers
BOSTON REVERSIBLE,919.M.,22.0,500,478.0,333166.0,best_sellers
BOSTON REVERSIBLE HOODIE,911.2XL.,12.0,500,488.0,330376.0,best_sellers
BOSTON REVERSIBLE HOODIE,731.XL.,13.0,500,487.0,329699.0,best_sellers
BOSTON REVERSIBLE HOODIE,731.2XL.,14.0,500,486.0,329022.0,best_sellers
BOSTON REVERSIBLE HOODIE,911.S.,16.0,500,484.0,327668.0,best_sellers
BOSTON REVERSIBLE HOODIE,731.S.,16.0,500,484.0,327668.0,best_sellers
BOSTON REVERSIBLE HOODIE,911.XL.,18.0,500,482.0,326314.0,best_sellers
BOSTON REVERSIBLE HOODIE,731.L.,20.0,500,480.0,324960.0,best_sellers
BOSTON REVERSIBLE HOODIE,911.M.,20.0,500,480.0,324960.0,best_sellers
BOSTON REVERSIBLE HOODIE,731.M.,21.0,500,479.0,324283.0,best_sellers
BOSTON REVERSIBLE HOODIE,911.L.,21.0,500,479.0,324283.0,best_sellers
TONI,940.2XL.,15.0,500,485.0,313795.0,best_sellers
TONI,940.S.,18.0,500,482.0,311854.0,best_sellers
TONI,940.XL.,19.0,500,481.0,311207.0,best_sellers
TONI,940.M.,19.0,500,481.0,311207.0,best_sellers
ADRIAN,990.M.,20.0,500,480.0,310560.0,best_sellers
BECKETT,870.L.,21.0,500,479.0,309913.0,best_sellers
TONI,940.L.,21.0,500,479.0,309913.0,best_sellers
BECKETT,870.XL.,21.0,500,479.0,309913.0,best_sellers
ADRIAN,990.L.,22.0,500,478.0,309266.0,best_sellers
BECKETT,870.M.,22.0,500,478.0,309266.0,best_sellers
HINISHA,730.L,1.0,200,199.0,298498.01,making_progress
HINISHA,116.XS,1.0,200,199.0,298498.01,making_progress
HINISHA,116.L,1.0,200,199.0,298498.01,making_progress
RUBINA,730.S,3.0,300,297.0,296997.03,doing_good
RUBINA,730.XS,3.0,300,297.0,296997.03,doing_good
RUBINA,730.2XS,4.0,300,296.0,295997.04,doing_good
RUBINA,730.M,4.0,300,296.0,295997.04,doing_good
SEAN,990.S.,13.0,500,487.0,290739.0,best_sellers
SEAN,931.2XL.,13.0,500,487.0,290739.0,best_sellers
JOSEPHINE,710.2XS.,15.0,500,485.0,290515.0,best_sellers
LENAH,990.2XS.,14.0,500,486.0,290142.0,best_sellers
SEAN,931.S.,15.0,500,485.0,289545.0,best_sellers
JOSEPHINE,710.XS.,18.0,500,482.0,288718.0,best_sellers
JOSEPHINE,710.L.,18.0,500,482.0,288718.0,best_sellers
LENAH,990.L.,17.0,500,483.0,288351.0,best_sellers
SEAN,931.XL.,17.0,500,483.0,288351.0,best_sellers
SEAN,990.2XL.,17.0,500,483.0,288351.0,best_sellers
LENAH,990.XS.,17.0,500,483.0,288351.0,best_sellers
SEAN,931.M.,18.0,500,482.0,287754.0,best_sellers
LENAH,990.M.,19.0,500,481.0,287157.0,best_sellers
SEAN,931.L.,19.0,500,481.0,287157.0,best_sellers
JOSEPHINE,710.M.,21.0,500,479.0,286921.0,best_sellers
