Style,Variant Code,total_quantity,total_value,tier,Selling Price
ATTICUS TOTE,990.NS.,67.0,23383.0,best_sellers,349.0
ATTICUS LAPTOP BAG,990.NS.,66.0,23034.0,best_sellers,349.0
ATTICUS LAPTOP BAG,890.NS.,63.0,21987.0,best_sellers,349.0
ATTICUS BACKPACK,990.NS.,62.0,21638.0,best_sellers,349.0
CORBAN,990.L,35.0,18795.0,best_sellers,537.0
STETSON CROSSBODY,990.NS.,69.0,17181.0,best_sellers,249.0
CORBAN,990.XL,31.0,16647.0,best_sellers,537.0
STETSON CROSSBODY,890.NS.,66.0,16434.0,best_sellers,249.0
ATTICUS TOTE,890.NS.,47.0,16403.0,best_sellers,349.0
ATTICUS CROSSBODY,990.NS.,63.0,16317.0,best_sellers,259.0
