Item Product Group Code,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,Location Code,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total,total_quantity,total_value,tier,reorder_quantity,tier_description
35-22-85,AERYN,848141,SP24,AERYN - WOMEN'S LEATHER JACKETS IN CAMEL,CAMEL,730.XS,1276911587033,733.59,83,83.0,59.0,48.0,11.0,48.0,44.0,20.0,24.0,13.0,25.0,12.0,5.0,19.0,7.0,23.0,25.0,8.0,2,474,474,347721.66000000003,best_sellers,660,Top 10% performers - High demand items
24-55-45,ALEKSIA,286649,FA25,ALEKSIA - WOMEN'S LEATHER JACKETS IN TEAL,TEAL,918.NS,9551817456328,689.77,89,89.0,60.0,47.0,43.0,42.0,33.0,12.0,15.0,14.0,23.0,6.0,14.0,21.0,17.0,22.0,22.0,22.0,3,502,502,346264.54,best_sellers,660,Top 10% performers - High demand items
49-81-17,MONACO,564463,FA25,MONACO - WOMEN'S LEATHER JACKETS IN BORDEAUX,BORDEAUX,990.XS,5296629054354,722.79,59,59.0,98.0,40.0,49.0,48.0,17.0,22.0,17.0,7.0,4.0,19.0,14.0,17.0,22.0,23.0,2.0,2.0,2,460,460,332483.39999999997,best_sellers,660,Top 10% performers - High demand items
75-57-88,ALYSON,601816,ALL SEASON,ALYSON - WOMEN'S LEATHER JACKETS IN SAND,SAND,730.XS,3894246912455,720.88,90,90.0,70.0,47.0,35.0,24.0,30.0,20.0,0.0,25.0,17.0,23.0,7.0,15.0,0.0,9.0,12.0,17.0,2,441,441,317908.08,best_sellers,660,Top 10% performers - High demand items
30-51-34,MONACO,204812,FA25,MONACO - WOMEN'S LEATHER JACKETS IN LIGHT GREY,LIGHT GREY,990.S,1026535529249,745.43,100,100.0,62.0,46.0,17.0,49.0,27.0,14.0,1.0,11.0,5.0,12.0,4.0,17.0,15.0,24.0,19.0,1.0,1,424,424,316062.32,best_sellers,660,Top 10% performers - High demand items
53-16-30,ALEKSIA,765786,SP24,ALEKSIA - WOMEN'S LEATHER JACKETS IN RADIANT RED,RADIANT RED,990.S,6142281397087,797.71,88,88.0,78.0,39.0,15.0,0.0,33.0,16.0,17.0,8.0,0.0,18.0,8.0,22.0,9.0,1.0,18.0,25.0,5,395,395,315095.45,best_sellers,660,Top 10% performers - High demand items
42-76-42,AERYN,440161,KI00,AERYN - WOMEN'S LEATHER JACKETS IN ELEMENTAL BLUE,ELEMENTAL BLUE,730.L,5836647861780,789.12,98,98.0,50.0,35.0,16.0,38.0,26.0,3.0,2.0,23.0,15.0,11.0,13.0,7.0,5.0,9.0,25.0,17.0,5,393,393,310124.16,best_sellers,660,Top 10% performers - High demand items
23-60-33,ALYSON,558598,SP24,ALYSON - WOMEN'S LEATHER JACKETS IN MINK,MINK,990.L,5523654916044,778.25,89,89.0,49.0,22.0,11.0,0.0,42.0,0.0,23.0,6.0,20.0,14.0,18.0,21.0,10.0,18.0,24.0,25.0,1,392,392,305074.0,best_sellers,660,Top 10% performers - High demand items
80-98-31,ALYSON,413357,FA26,ALYSON - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,549.2XL,5443459852801,759.06,62,62.0,89.0,27.0,48.0,17.0,7.0,20.0,11.0,19.0,21.0,14.0,8.0,12.0,16.0,8.0,10.0,11.0,5,400,400,303624.0,best_sellers,660,Top 10% performers - High demand items
79-13-63,ALEKSIA,836520,FA25,ALEKSIA - WOMEN'S LEATHER JACKETS IN RADIANT RED,RADIANT RED,549.2XL,2728498477945,792.3,85,85.0,59.0,9.0,5.0,29.0,19.0,17.0,22.0,22.0,13.0,0.0,19.0,24.0,19.0,17.0,3.0,13.0,1,375,375,297112.5,best_sellers,660,Top 10% performers - High demand items
