Sum of Quantity,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,Location Code,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,BLACK,990.M,9135729094526,299.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1,1
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,BLACK,990.L,9135729094533,299.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,,1,2
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.3XS,0135729108678,299.99,0.0,4.0,0.0,1.0,,0.0,,,,0.0,1.0,,,,,1.0,,,0,7
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.2XS,0135729108679,299.99,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,,,1,15
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.XS,0135729108673,299.99,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.S,0135729108675,299.99,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0,12
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.M,0135729108676,299.99,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,8
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.L,0135729108677,299.99,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,6
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.XL,0135729108674,299.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0,1
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DUSK,549.2XL,0135729108680,299.99,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,,,0,4
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,EGGPLANT,580.3XS,0135729105842,299.99,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,,,0.0,0.0,,,,0,4
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,EGGPLANT,580.2XS,0135729105843,299.99,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,,0,9
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,CAMEL,700.3XS,0135729108670,299.99,0.0,0.0,,1.0,,,,,,,0.0,,,0.0,0.0,,,,0,1
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,CAMEL,700.2XS,0135729108671,299.99,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,,0,8
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,CAMEL,700.XS,0135729108665,299.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
